date,China,USA,Vietnam,Australia,Japan,HongKong,Singapore,Norway,Panama,Taiwan
2000-01-01,4067752,2943673,238002,263262,1724001,1040787,478215,68649,208792,815378
2000-01-01,5100933,3847123,302120,310554,2090277,1324504,643951,18685,27916,942046
2000-01-01,4934865,3461143,320401,325837,1927815,1212050,466653,70207,140639,832789
2000-01-01,5084554,3049347,285902,277170,2112347,1205126,710824,86201,134898,891990
2000-01-01,5431810,3281114,358099,310989,2016336,1274053,573585,20113,162511,872057
2000-01-01,5341838,3274529,288827,282628,1947968,1223364,709764,63964,80317,893535
2000-01-01,5423375,3254946,243934,302053,1904502,1250952,653612,12921,125055,902428
2000-01-01,5540812,3535928,306040,355652,2038942,1398081,671381,13219,114731,919208
2000-01-01,5532306,3939417,305140,317659,2130222,1518623,753168,15828,85181,1016463
2000-01-01,5484571,3673983,260585,364620,2208632,1455630,667705,22032,341300,960519
2000-01-01,6058696,3304223,293296,376215,2138082,1703781,772738,60810,245253,1173048
2000-01-01,4800573,3260918,238742,352094,2107219,1416175,704600,20255,49787,932719
2000-01-01,4837639,3145899,218776,380642,2061299,1429482,683824,64513,428002,965041
2000-01-01,5725008,3862475,328076,389396,2180383,1624506,705121,127813,63785,1004288
2000-01-01,5428865,3538737,311324,565740,1940871,1406910,705846,67278,167970,893417
2000-01-01,5768059,3516047,380229,340387,2310335,1567171,862544,71697,220445,1023300
2000-01-01,5982892,3787495,358970,356118,2363667,1650654,836765,71114,353537,1076872
2000-01-01,5644308,3593550,293987,330737,2077097,1428038,872798,178266,345459,1184812
2000-01-01,6221786,3551040,427165,367776,2230653,1604949,780835,17792,122703,1059690
2000-01-01,6363845,3828545,365584,496641,2369865,1846722,931134,76667,105008,1202612
2000-01-01,6443254,4029040,347816,398061,2335096,1718370,798337,18315,90767,1290379
2000-01-01,6184256,3765533,363512,338279,2419448,1582104,834758,76003,33975,1189481
2000-01-01,7740782,4224090,567489,485960,2361918,1866503,1209826,174667,471251,1080048
2000-01-01,6401708,3635619,393193,358606,2011464,1603570,850972,79860,310014,1059831
2000-01-01,5482360,3704008,395866,324888,2028249,1289738,851001,20024,283175,868646
2000-01-01,6382984,4059506,380972,363997,2205709,1433951,942028,33987,149795,1139722
2000-01-01,6518526,3844902,448486,372148,2109683,1391634,1240043,19573,349384,1100275
2000-01-01,6587389,3992973,480612,345823,2145312,1463176,1025260,22603,313928,1060357
2000-01-01,6548213,3846283,441194,398458,2263239,1546368,1011875,23147,240889,1093051
2000-01-01,6889671,3794753,529838,384539,2138701,1605737,714295,15818,292181,1191318
2000-01-01,7158118,3515831,409135,422320,2107231,1485645,776458,80347,122609,1209103
2000-01-01,7034111,3212919,505004,405683,1972488,1561123,1145551,13855,161670,949503
2000-01-01,7942034,4081465,554695,484300,2525078,1800519,1188918,24641,243314,1118801
2000-01-01,7299287,3853754,653571,344470,2501120,1606486,993266,87756,206795,1156454
2000-01-01,7467633,4434727,667877,465779,2443018,1700072,1310731,130327,834665,1056145
2000-01-01,7269037,3656069,499258,385290,2334129,1365284,1171426,64684,311699,879874
2000-01-01,6438015,3358817,593736,367551,2253636,1324380,1640103,653179,158760,926232
2000-01-01,8338492,4086718,975676,505839,2417452,1677823,1180757,39127,408554,1026539
2000-01-01,8647031,4235371,863718,437723,2493950,1829491,1361932,86025,420234,1079279
2000-01-01,8914537,3870188,622252,455163,2520172,1740411,1603934,99886,177887,1125556
2000-01-01,8713123,4215345,791833,424473,2597267,1780622,1719713,112596,638661,1091675
2000-01-01,8961207,4146699,852484,572467,2617735,2201586,1700360,111890,556192,1174434
2000-01-01,8538672,3549423,538972,424640,2202681,1730462,1436372,20665,325115,1028094
2000-01-01,8090176,3833836,540604,470295,2297715,1814199,1330482,104731,458587,961895
2000-01-01,5296229,3498158,365445,342319,2077232,1534419,1024844,186964,1012166,613465
2000-01-01,4714746,3491260,492961,319800,1997483,1073124,812316,469742,1161183,498785
2000-01-01,8178383,3190152,695380,487359,2014270,1881268,1369761,62406,268318,954909
2000-01-01,4465852,2627953,340039,306666,1530821,1110963,700095,10868,191808,406007
2000-01-01,5560923,2743835,422914,287085,1533753,1523657,1078991,14177,866453,512129
2000-01-01,6474498,2935612,556013,330886,1564473,1401226,967205,154021,363653,646120
2000-01-01,6986960,3270306,590313,431664,1669377,1282408,1159841,77808,237618,711177
2000-01-01,6635667,2942503,578877,408352,1633145,1550775,973658,98953,421761,802736
2000-01-01,7310084,3278597,622135,448339,1819762,1719638,1190205,76434,624863,756680
2000-01-01,7804229,3286677,678621,504851,1859977,1810648,1345209,694427,215616,800351
2000-01-01,7656800,3143716,554266,472956,1788966,1767895,1041762,11815,154047,830395
2000-01-01,8363325,3387117,649437,525416,2189255,1696970,1300875,127912,462382,918155
2000-01-01,8162746,3485644,671538,460598,2101005,1986935,1278807,169436,457546,1018613
2000-01-01,9103779,3357742,789945,578974,2066035,1928671,1210585,108085,212555,1143842
2000-01-01,10348324,4777593,948495,701130,2666568,2231245,1458510,144569,442112,1358038
2000-01-01,8845995,3057540,630172,505414,1876024,1633592,1015450,13179,131225,1001964
2000-01-01,7954961,3406385,530153,401549,1952521,1903182,1096616,78124,20918,942492
2000-01-01,9761156,4072584,696618,587049,2124225,2109175,1088271,114111,280695,1178592
2000-01-01,9911317,4338593,859464,662062,2195317,2054125,1284377,357325,379827,1192762
2000-01-01,9605689,4157685,735725,528992,2261135,2333541,1614939,335299,116614,1150737
2000-01-01,9550811,4466323,803823,455294,2367824,2324135,1453993,16178,689280,1182327
2000-01-01,9878814,4540970,862378,622925,2485476,2089795,1172895,96543,259321,1209983
2000-01-01,9612204,4050745,788436,437079,2413491,2162058,1058849,9356,519295,1328214
2000-01-01,9714202,4149301,858723,583325,2377542,2041917,1469670,339360,433342,1209253
2000-01-01,10586575,4447907,906756,607983,2784634,2224595,1341343,1232909,248002,1360103
2000-01-01,11067787,4350433,1031330,548820,2671525,2186987,1189289,64196,532876,1716035
2000-01-01,11842269,4604885,1226447,663582,3291812,3070064,1433791,21689,319126,1525671
2000-01-01,10029211,4143179,972256,593815,2938131,2368098,1253912,20933,209038,1211632
2000-01-01,9577542,3812274,761840,467598,2701369,2085627,1549797,252940,126967,1397254
2000-01-01,11518731,4643162,1128867,586866,3257021,2566588,1764462,12329,248945,1949358
2000-01-01,10807466,5094083,1182298,651844,3575085,2611215,2027181,95979,294493,1703654
2000-01-01,11294812,5171510,1085870,683531,3058715,2759156,2147142,20681,214016,1555755
2000-01-01,11126425,4969269,1039280,702034,3402469,2312012,1666511,86250,310101,1495463
2000-01-01,11829363,4650594,1012045,581569,3407616,2864386,1936287,17105,267076,1485488
2000-01-01,11615644,4322256,1167196,457011,3425151,2853164,1704010,17468,151111,1706433
2000-01-01,11664544,4794609,1306857,581314,3414076,2344299,1690556,26995,221608,1394301
2000-01-01,11194390,5401548,1264672,880333,3488539,2667430,1832191,18664,394679,1423444
2000-01-01,11684612,4600334,1317295,1314348,3719723,2466363,1833166,75361,1041093,1357512
2000-01-01,12461126,4438501,1378261,784931,3291482,2893858,2073690,149158,958411,1213911
2000-01-01,9793924,4123411,1061189,637789,3270842,2540873,1406383,80041,734645,1186421
2000-01-01,10500481,5619301,1259403,726481,3503412,2775075,1964089,110933,78178,1286341
2000-01-01,11043090,5934644,1251894,843005,3329167,2978445,2129267,14526,269442,1331344
2000-01-01,10463536,5307363,1237804,819820,2751440,2684700,1586668,113455,304189,1163843
2000-01-01,10716030,4726886,1286975,727918,3093617,3024354,1960345,12455,329074,1354119
2000-01-01,10828778,4977490,1369072,783809,3402562,2539827,2297074,85482,296702,1209479
2000-01-01,11247341,4692004,1351976,764898,3337718,2226852,2210877,108572,218358,1119238
2000-01-01,11061861,4221898,1380810,720180,3179794,2487766,1543570,154532,187085,1276125
2000-01-01,11783076,4813842,1340309,822026,2967153,3038833,1904446,65331,65262,1118497
2000-01-01,12429057,5113742,1529013,779504,3622015,2814776,1837162,107154,85433,1288854
2000-01-01,11994264,4555475,1499269,840123,3046855,2600831,1974348,59872,450525,1266686
2000-01-01,13152510,5465244,2218188,838548,3518915,2520634,1702213,193303,270738,1382391
2000-01-01,11425208,4960892,1489705,800859,2987577,2213282,1529459,104467,45967,1371709
2000-01-01,10387586,5002518,1445587,875178,2900961,1909951,1557485,60485,243971,1143835
2000-01-01,11685543,4978892,1827243,696992,2703277,2564803,2564518,59197,131161,1461026
2000-01-01,12136961,5347295,1741362,894977,2430304,2163473,1973716,14421,46894,1555300
2000-01-01,12481015,5744405,1862563,716367,2732790,2380306,2146651,58742,264882,1291936
2000-01-01,11398722,5292652,1674988,783469,2824466,2240549,2133841,132548,1873345,1295690
2000-01-01,12882114,5153831,1685025,601368,2839173,2255632,1589434,188800,113841,1307015
2000-01-01,12474089,4973463,1761322,886144,2762424,2333563,2055553,215743,110843,1134540
2000-01-01,11939788,4733799,1833514,664709,2916581,2587170,1778245,61588,172279,1190000
2000-01-01,12920193,5247925,1733503,1012110,3381554,2321124,1905915,312558,178905,1200034
2000-01-01,12985768,5151571,1814582,792370,2664269,2265821,1351997,137554,31768,1365622
2000-01-01,13586044,6798528,2138138,1040574,2888627,2394180,1944287,673816,1055868,1309034
2000-01-01,11482348,4856162,1733303,824478,2810870,1936613,1355638,16650,98481,1239773
2000-01-01,10757677,4664001,1732674,683354,2607400,1976299,2713692,48551,78022,1176255
2000-01-01,12186982,5814182,2095883,614882,2783089,2278013,2329908,12892,169829,1308575
2000-01-01,12410095,6376334,1815756,870443,2717014,2267187,2708375,59707,248405,1239633
2000-01-01,11305150,6058691,1693662,1055264,2705135,2288314,2383208,51973,83210,1188016
2000-01-01,11278078,6086844,1706982,830993,2563081,2425874,1616073,639816,342995,1307409
